product_code,major category,minor category,production type,multiplication_factor
pp002,Banana,Banana bebê,Banana bebê: Litoral (< 800 m acima do nível do mar),1
pp003,Banana,Banana bebê,Banana bebê: Montanha (≥800 m acima do nível do mar),1
pp001,Banana,Banana (fresca),Banana (fresca),1
pp005,Banana,Banana (outro),Outro [Especifique],1
pp004,Banana,Plátano (fresco),Plátano (fresco),1
pp007,açúcar de cana,açúcar de cana,Outro [Especifique],1
pp321,açúcar de cana,açúcar de cana,açúcar,1
pp006,açúcar de cana,açúcar de cana,Cana-de-açúcar,0.1
pp311,Cereais,Milhete,Milhete,1
pp243,Cereais,Cereais (outro),Outro [Especifique],1
pp329,Cereais,Qañiwa,Qañiwa,1
pp242,Cereais,Quinoa,Quinoa,1
pp244,Arroz,Arroz,Basmati: Pusa,1
pp245,Arroz,Arroz,Basmati: Tradicional,1
pp246,Arroz,Arroz,Preto petit poussin & Branco petit poussin,1
pp604,Arroz,Arroz,Grão longo brasileiro,1
pp605,Arroz,Arroz,Grão longo aromático birmanês,1
pp606,Arroz,Arroz,Grão longo aromático cambojano,1
pp607,Arroz,Arroz,Giza,1
pp247,Arroz,Arroz,Arroz glutinoso: preto ou violeta,1
pp248,Arroz,Arroz,Arroz glutinoso: branco,1
pp608,Arroz,Arroz,Hsin Thu Kha,1
pp249,Arroz,Arroz,Jasmine Rice & Red Jasmine Rice,1
pp609,Arroz,Arroz,Ma Naw Thu Kha,1
pp610,Arroz,Arroz,Mandarin,1
pp611,Arroz,Arroz,Não-Basmati e Não-Sarbati arroz,1
pp612,Arroz,Arroz,Arroz não-glutinoso preto,1
pp613,Arroz,Arroz,Arroz não-glutinoso vermelho,1
pp250,Arroz,Arroz,Normal longgrain rice,1
pp253,Arroz,Arroz,Outro [Especifique],1
pp614,Arroz,Arroz,Paw San,1
pp251,Arroz,Arroz,Sarbati,1
pp616,Arroz,Arroz,Shwe Thwe Lay,1
pp617,Arroz,Arroz,Arroz agulhinha tailandês,1
pp252,Arroz,Arroz,Traditional varieties from Sri Lanka,1
pp636,Cereais,Sorgo,Sorgo,1
pp008,Cacau,Cacau,Grãos de cacau (bruto),1
pp009,Cacau,Cacau,Outro [Especifique],1
pp011,Café,Arábica,Arábica: Cereja seca,0.5
pp010,Café,Arábica,Arábica: Cereja não processada,0.5
pp012,Café,Arábica,Arábica: Pergaminho não lavado,0.8
pp013,Café,Arábica,Arábica: Pergaminho lavado,0.8
pp018,Café,Café (outro),Outro [Especifique],1
pp015,Café,Robusta,Robusta: Cereja seca,0.5
pp014,Café,Robusta,Robusta: Cereja não processada,0.5
pp016,Café,Robusta,Robusta: Pergaminho não lavado,0.8
pp017,Café,Robusta,Robusta: Pergaminho lavado,0.8
pp348,Flores e Plantas,Plantas,Bolbos,1
